record_id,portraited_person,wikidata_id,filename,creator,name_norm,creator_wikidata_id,created,description,format,publisher,rights,source,subject,original_filename,size
726,Jules Jacques Labatut (1851-1935),Q2361651,874866ff7bf5317768d5030671aaea92.jpg,anonymous,anonymous,Q4233718,1881,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.316,portrait,LABATUT.jpg,166197
727,Théodore Labrouste (1799-1885),Q3526446,c1f835cb70bf68f5dbc55042c271853a.jpg,anonymous,anonymous,Q4233718,1828-1832,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.73,portrait,LABROUSTE François.jpg,341789
731,Jules-Isidore Lafrance (1841-1881),Q3188357,43765edd43f1d4ae2f72981e994972d7.jpg,Fernand Lematte,Fernand Lematte,Q1406521,1870,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.273,portrait,LAFRANCE.jpg,100876
733,Jean Lagrange (1831-1908),Q3172947,626ca3757e468228d3f7eabe43d63dee.jpg,Benjamin Ulmann,Benjamin Ulmann,Q2896262,1860,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.225,portrait,LAGRANGE.jpg,119169
737,Frédéric-Auguste Laguillermie (1841-1934),Q20950183,cc2ba9e664005574d4fc9b6ff12c8a5f.jpg,Théobald Chartran,Théobald Chartran,Q922670,1878,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.256,portrait,LAGUILLERMIE.jpg,102773
739,Victor Laloux (1850-1937),Q924704,ca9bd9ca2b2e667b5705bb1d8dd0eee7.jpg,François Schommer,François Schommer,Q18636954,1878,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.307,portrait,LALOUX.jpg,115081
740,Marcel Lambert (1847-1928),Q3289095,c84bd7e978e3d8eb4e9488c7135e89df.jpg,Aimé Morot,Aimé Morot,Q405759,1873,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.287,portrait,LAMBERT.jpg,133833
746,Paul Landowski (1875-1961),Q710530,e2127fdcbb44dae8e75dc3d0c0046d21.jpg,William Laparra,William Laparra,Q3514997,1902,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.394,portrait,LANDOWSKI.jpg,135018
749,François Lanno (1800-1871),Q3085093,cbac1770165858739e74bfc3bd786d40.jpg,anonymous,anonymous,Q4233718,1828-1832,"huile, toile, collé, contreplaqué",22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.71,portrait,LANNO.jpg,440290
751,Félix-Hippolyte Lanoüe (1812-1872),Q3092335,f0fb7ccb61c4a8c22bebe7aee3ea5fdb.jpg,Pierre-Nicolas Brisset,Pierre-Nicolas Brisset,Q2088153,1846,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.135,portrait,LANOUE.jpg,72575
752,Alfred-Désiré Lanson (1851-1898),Q2834911,0bedadf06e6909ca17471829964b9365.jpg,François Schommer,François Schommer,Q18636954,1878,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.298,portrait,LANSON.jpg,140430
757,Charles-Philippe Larivière (1798-1876),Q1063426,338ca2b827a247b98699420cb8ebf345.jpg,anonymous,anonymous,Q4233718,1825-1829,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.59,portrait,DE LARIVIERE.jpg,388759
770,Joseph-Fortuné-Séraphin Layraud (1833-1913),Q3184246,ca52b729539ab4c6372006643e0d30fa.jpg,Joseph-Fortuné-Séraphin Layraud,Joseph-Fortuné-Séraphin Layraud,Q3184246,1863,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.236,auto-portrait,LAYRAUD.jpg,180178
786,Charles-François Lebœuf (1792-1865),Q2343714,97f6209510c7d28769893f0f234551ae.jpg,Joseph-Désiré Court,Joseph-Désiré Court,Q2363367,1820,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.29,portrait,LEBŒUF dit Nanteuil.JPG,50686
787,Aimé Leborne (1797-1866),Q1028877,8ef48ef4779074aa8ec64d05c0b4445e.jpg,Amable-Paul Coutan,Amable-Paul Coutan,Q4738989,1822,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.45,portrait,LEBORNE.jpg,369100
788,Joseph Lebourgeois (1802-1824),Q1372765,9dd9b85cf48df3e0e51b897edd4fb49f.jpg,François Bouchot,François Bouchot,Q2445657,1825,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.52,portrait,LEBOURGEOIS.jpg,317421
790,Denis Lebouteux (1819-1879),Q106509807,31c479ec7e4c0657014c76ed4506b40d.jpg,Gustave Boulanger,Gustave Boulanger,Q726564,1855,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.171,portrait,D.LEBOUTEUX.jpg,168233
791,Auguste Lebouys (1812-1854),Q96657620,bf302b8afbe749a17634a7d10ca72689.jpg,Victor-François-Eloi Biennourry,Victor-François-Eloi Biennourry,Q18214143,1847,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.131,portrait,LEBOUYS.jpg,135304
793,Alfred Leclerc (1843-1915),Q2835260,256e7c67c0b534d5ae5b57086c0f3f75.jpg,anonymous,anonymous,Q4233718,1868,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.264,portrait,LECLERC.jpg,116376
796,Charles-Joseph Lecointe (1823-1886),Q19544969,a76a8806aaceac1dd671cfb043b8830c.jpg,Gustave Boulanger,Gustave Boulanger,Q726564,1854,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.172,portrait,LECOINTE.jpg,81719
801,Charles-Édouard Lefebvre (1843-1917),Q1065318,a70c6fc4c804364326edfc1d7ab0189b.jpg,Fernand Lematte,Fernand Lematte,Q1406521,1873,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.275,portrait,LEFEBVRE Charles.jpg,122529
803,Jules Lefebvre (1834-1912),Q433973,a779815e85116dd1c14524de4d6f12b0.jpg,Jules Lefebvre,Jules Lefebvre,Q433973,1867,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.227,auto-portrait,LEFEBVRE Jules.jpg,138606
808,Hector Lefuel (1810-1880),Q323877,19f03d0584ef783c0363e9af3f56a684.jpg,anonymous,anonymous,Q4233718,1840-1844,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.125,portrait,LEFUEL.jpg,98523
811,Louis Aimé Lejeune (1884-1969),Q5981456,0eaffc7e5a07a604def4e43012e417a7.jpg,anonymous,anonymous,Q4233718,1911,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.423,portrait,LEJEUNE.jpg,121484
817,Philippe Joseph Henri Lemaire (1798-1880),Q354388,1fe2aafa8114d71fef0bf65554c06924.jpg,Joseph-Désiré Court,Joseph-Désiré Court,Q2363367,1826,"huile, toile, collé, contreplaqué",22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.47,portrait,LEMAIRE.jpg,398149
818,Fernand Lematte (1850-1929),Q1406521,09ba2516a0cc8166f2f787ba274edcba.jpg,Paul-Albert Besnard,Paul-Albert Besnard,Q424348,1874,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.272,portrait,LEMATTE.jpg,102406
823,Charles Lenepveu (1840-1910),Q371459,636bcc51706a9bd20742d3d4ba5e0e0e.jpg,anonymous,anonymous,Q4233718,1865,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.252,portrait,LENEPVEU Charles.jpg,88727
824,Eugène Lenepveu (1819-1898),Q1543513,87459aca901c0ceb679c565dc7be8d05.jpg,Eugène Lenepveu,Eugène Lenepveu,Q1543513,1848-1852,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.159,auto-portrait,LENEPVEU.jpg,132577
827,Alfred-Adolphe-Édouard Lepère (1827-1904),Q2834893,ae37d5c8392bed577b0a8c6599135afe.jpg,Alfred-Adolphe-Édouard Lepère,Alfred-Adolphe-Édouard Lepère,Q2834893,1858,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.186,auto-portrait,LEPÈRE.jpg,116553
828,Eugène-Louis Lequesne (1815-1887),Q2719726,efb4d3c721b37fc1956c219b2fbde5f8.jpg,Félix-Joseph Barrias,Félix-Joseph Barrias,Q3092343,1850,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.147,portrait,LEQUESNE.jpg,131864
845,Jean-Arnoud Léveil (1806-1866),Q3163740,76997678d96a7f73b3a11f96f12bba84.jpg,anonymous,anonymous,Q4233718,1833-1837,"huile, toile, collé, contreplaqué",22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.92,portrait,LEVEIL.JPG,76356
846,Émile Lévy (1826-1890),Q3588633,d60c2dcd4185144adda29327dbdcf339.jpg,Felix Henri Giacomotti,Felix Henri Giacomotti,Q1479490,1855-1857,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.194,portrait,LÉVY Émile.jpg,108425
857,Louis-Victor Louvet (1822-1898),Q3260908,b34230232a799b6576b1d2fe6c794462.jpg,Paul-Jacques-Aimé Baudry,Paul-Jacques-Aimé Baudry,Q911575,1851-1855,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.176,portrait,LOUVET.jpg,99993
859,Benoît Édouard Loviot (1849-1921),Q106239165,73a4ebdd4d25c844ad77fc3503ef8e6e.jpg,Théobald Chartran,Théobald Chartran,Q922670,1879,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.291,portrait,LOVIOT.jpg,128463
865,Jules Louis Machard (1839-1900),Q3188753,c2535a626862de85f80d6e6086d4fcad.jpg,Jules Louis Machard,Jules Louis Machard,Q3188753,1865,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.248,auto-portrait,MACHARD.jpg,134207
868,Diogene Ulyssee Napoleon Maillart (1840-1926),Q3028695,c55457f872bbca37ff783e6519bf8ee0.jpg,Diogene Ulyssee Napoleon Maillart,Diogene Ulyssee Napoleon Maillart,Q3028695,1864,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.242,auto-portrait,MAILLART.jpg,197323
870,Jacques-Léonard Maillet (1823-1876),Q3158003,7d759f2a7fe87b31c5e2a140fbae9134.jpg,Eugène Lenepveu,Eugène Lenepveu,Q1543513,1848-1851,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.161,portrait,MAILLET.jpg,82476
871,Théodore Pierre Nicolas Maillot (1826-1888),Q31941765,4479059c799108609220a126763f9e31.jpg,Felix Henri Giacomotti,Felix Henri Giacomotti,Q1479490,1859,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.195,portrait,MAILLOT.jpg,107555
877,Henri-Charles Maniglier (1826-1901),Q3130350,58ddd4408099132265fc656d9038d6fa.jpg,Félix-Auguste Clément,Félix-Auguste Clément,Q4223261,1857,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.203,portrait,MANIGLIER.jpg,111188
880,Henri Maréchal (1842-1924),Q1605937,6333de41bbe5b4d6f1e28c5c7d048568.jpg,Fernand Lematte,Fernand Lematte,Q1406521,1873,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.274,portrait,MARÉCHAL Charles.jpg,98471
881,René-Ambroise Maréchal (1818-1847),Q3425658,9e1f589e31d5670d0330286141b3e5a0.jpg,anonymous,anonymous,Q4233718,1844-1847,huile sur toile,22 cm x 32 cm,Académie de France à Rome,Villa Médicis,2016.0.143,portrait,MARECHAL  René.jpg,120497
